appid,Title,Type,Price,Release_Date,Rating,Required_Age,Is_Multiplayer
71000,Evochron Mercenary,game,19.99,00:00.0,70,0,1
212390,Continent of the Ninth Seal,game,0,00:00.0,-1,0,1
228280,Baldur's Gate: Enhanced Edition,game,19.99,00:00.0,78,0,1
253470,Real World Racing,game,8.99,00:00.0,-1,0,1
248630,Kingdoms Rise,game,14.99,00:00.0,-1,0,1
234390,Teleglitch: Die More Edition,game,12.99,00:00.0,78,0,0
255940,The 11th Hour,game,5.99,00:00.0,-1,0,0
33120,Alien Shooter 2: Reloaded,game,4.99,00:00.0,-1,0,0
305260,Battle Islands,game,0,00:00.0,-1,0,1
2400,The Ship: Murder Party,game,9.99,00:00.0,76,0,1
302950,Heileen 1: Sail Away,game,5.99,00:00.0,-1,0,0
233680,Black Ink,game,44.99,00:00.0,-1,0,0
45700,Devil May Cry 4,game,19.99,00:00.0,78,0,0
91100,SkyDrift,game,9.99,00:00.0,73,0,1
15350,Brain Spa,game,9.99,00:00.0,-1,0,1
283960,Pajama Sam: No Need to Hide When It's Dark Outside,game,6.99,00:00.0,-1,0,0
3360,Big Money! Deluxe,game,4.99,00:00.0,-1,0,0
11900,LUMINES™,game,9.99,00:00.0,74,0,0
227220,Sang-Froid - Tales of Werewolves,game,14.99,00:00.0,79,0,0
269270,LOVE,game,2.99,00:00.0,-1,0,0
67370,The Darkness II,game,29.99,00:00.0,77,17,0
289500,UFO: Aftershock,game,3.99,00:00.0,-1,0,0
37220,Cooking Dash®,game,9.99,00:00.0,-1,0,0
10240,A Stroke of Fate: Operation Valkyrie,game,9.99,00:00.0,-1,0,0
13620,Tom Clancy's Ghost Recon® Desert Siege™,game,4.99,00:00.0,82,17,1
270590,Long Night,game,4.99,00:00.0,-1,17,0
296240,The Promised Land,game,6.99,00:00.0,-1,0,0
91810,Ancients of Ooga,game,9.99,00:00.0,-1,0,0
80340,Blackwell Unbound,game,4.99,00:00.0,-1,0,0
291450,Smugglers 5,game,9.99,00:00.0,-1,0,0
302350,Tex Murphy: Under a Killing Moon,game,9.99,00:00.0,-1,0,0
296870,Dreaming Sarah,game,5.99,00:00.0,-1,0,0
204580,Rotastic,game,9.99,00:00.0,-1,0,1
252710,The Last Express Gold Edition,game,6.99,00:00.0,82,0,0
202310,Ridge Racer™ Unbounded,game,9.99,00:00.0,72,0,0
293540,Guns and Robots,game,0,00:00.0,-1,0,1
35800,BRAINPIPE: A Plunge to Unhumanity,game,1.99,00:00.0,-1,0,0
98200,Frozen Synapse,game,24.99,00:00.0,85,0,1
247140,Soundodger+,game,7.99,00:00.0,78,0,0
267340,Beware Planet Earth.,game,9.99,00:00.0,-1,0,0
32500,STAR WARS™ - The Force Unleashed™ II,game,19.99,00:00.0,59,0,0
205060,BIT.TRIP CORE,game,9.99,00:00.0,-1,0,0
108200,Ticket to Ride,game,9.99,00:00.0,-1,0,1
200410,SOL: Exodus,game,7.99,00:00.0,57,0,0
104000,iBomber Defense,game,4.99,00:00.0,-1,0,0
301200,Frederic: Evil Strikes Back,game,7.99,00:00.0,-1,0,0
236450,PAC-MAN™ Championship Edition DX+,game,9.99,00:00.0,-1,0,0
238960,Path of Exile,game,0,00:00.0,86,0,1
237890,Agarest: Generations of War,game,14.99,00:00.0,45,0,0
24240,PAYDAY™ The Heist,game,14.99,00:00.0,76,17,0
243140,Glare,game,9.99,00:00.0,69,0,0
18480,Mata Hari,game,9.99,00:00.0,63,0,0
269030,The Yawhg,game,9.99,00:00.0,66,0,0
221830,The Book of Unwritten Tales: The Critter Chronicles,game,19.99,00:00.0,73,0,0
233290,Murdered: Soul Suspect,game,29.99,00:00.0,59,17,0
6980,Thief: Deadly Shadows,game,8.99,00:00.0,85,0,0
285420,Deadly Sin 2,game,4.99,00:00.0,-1,0,0
8190,Just Cause 2,game,14.99,00:00.0,84,17,0
269570,GTGD S1: More Than a Gamer,game,0.99,00:00.0,-1,0,0
24780,SimCity™ 4 Deluxe Edition,game,19.99,00:00.0,-1,0,0
97120,Kohan: Ahriman's Gift,game,9.99,00:00.0,79,0,1
12900,AudioSurf,game,9.99,00:00.0,85,0,0
293960,Spice Road,game,19.99,00:00.0,-1,0,0
24720,SPORE™ Galactic Adventures,game,19.99,00:00.0,70,0,0
94200,Jamestown,game,9.99,00:00.0,81,0,0
22500,Spectromancer,game,9.99,00:00.0,-1,0,1
263740,FootLOL: Epic Fail League,game,4.99,00:00.0,-1,0,1
224960,Tomb Raider I,game,6.99,00:00.0,-1,13,0
21030,Watchmen: The End is Nigh Part 2,game,4.99,00:00.0,44,17,0
